,,
Feature name,Description and values,
Encounter ID,Unique identifier of an encounter,
Patient number,Unique identifier of a patient,
Race,"Values: Caucasian, Asian, African American, Hispanic, and other",
Gender,"Values: male, female, and unknown/invalid",
Age,"Grouped in 10-year intervals: 0, 10), 10, 20), …, 90, 100)",
Weight,Weight in pounds.,
Admission type,"Integer identifier corresponding to 9 distinct values, for example, emergency, urgent, elective, newborn, and not available",
Discharge disposition,"Integer identifier corresponding to 29 distinct values, for example, discharged to home, expired, and not available",
Admission source,"Integer identifier corresponding to 21 distinct values, for example, physician referral, emergency room, and transfer from a hospital",
Time in hospital,Integer number of days between admission and discharge,
Payer code,"Integer identifier corresponding to 23 distinct values, for example, Blue Cross/Blue Shield, Medicare, and self-pay",
Medical specialty,"Integer identifier of a specialty of the admitting physician, corresponding to 84 distinct values, for example, cardiology, internal medicine, family/general practice, and surgeon",
Number of lab procedures,Number of lab tests performed during the encounter,
Number of procedures,Number of procedures (other than lab tests) performed during the encounter,
Number of medications,Number of distinct generic names administered during the encounter,
Number of outpatient visits,Number of outpatient visits of the patient in the year preceding the encounter,
Number of emergency visits,Number of emergency visits of the patient in the year preceding the encounter,
Number of inpatient visits,Number of inpatient visits of the patient in the year preceding the encounter,
Diagnosis 1,The primary diagnosis (coded as first three digits of ICD9); 848 distinct values,
Diagnosis 2,Secondary diagnosis (coded as first three digits of ICD9); 923 distinct values,
Diagnosis 3,Additional secondary diagnosis (coded as first three digits of ICD9); 954 distinct values,
Number of diagnoses,Number of diagnoses entered to the system,
Glucose serum test result,"Indicates the range of the result or if the test was not taken. Values: “>200,” “>300,” “normal,” and “none” if not measured",
A1c test result,"Indicates the range of the result or if the test was not taken. Values: “>8” if the result was greater than 8%, “>7” if the result was greater than 7% but less than 8%, “normal” if the result was less than 7%, and “none” if not measured.",
Change of medications,Indicates if there was a change in diabetic medications (either dosage or generic name). Values: “change” and “no change”,
Diabetes medications,Indicates if there was any diabetic medication prescribed. Values: “yes” and “no”,
24 features for medications,"For the generic names: metformin, repaglinide, nateglinide, chlorpropamide, glimepiride, acetohexamide, glipizide, glyburide, tolbutamide, pioglitazone, rosiglitazone, acarbose, miglitol, troglitazone, tolazamide, examide, sitagliptin, insulin, glyburide-metformin, glipizide-metformin, glimepiride-pioglitazone, metformin-rosiglitazone, and metformin-pioglitazone, the feature indicates whether the drug was prescribed or there was a change in the dosage. Values: “up” if the dosage was increased during the encounter, “down” if the dosage was decreased, “steady” if the dosage did not change, and “no” if the drug was not prescribed",
Readmitted,"Days to inpatient readmission. Values: “<30” if the patient was readmitted in less than 30 days, “>30” if the patient was readmitted in more than 30 days, and “No” for no record of readmission.",
